iter	Passed	Remaining
0	2	268
1	5	256
2	7	258
3	10	258
4	13	257
5	16	250
6	18	243
7	20	238
8	23	235
9	26	234
10	28	231
11	31	228
12	33	225
13	36	221
14	38	218
15	41	219
16	44	218
17	47	216
18	50	213
19	52	210
20	55	207
21	57	205
22	60	202
23	63	200
24	66	198
25	68	195
26	71	192
27	73	189
28	76	186
29	78	183
30	81	180
31	83	177
32	86	174
33	88	172
34	91	169
35	93	166
36	96	164
37	99	162
38	102	160
39	105	158
40	108	156
41	110	153
42	113	150
43	115	147
44	118	144
45	122	143
46	126	142
47	129	139
48	131	137
49	134	134
50	137	132
51	140	129
52	143	126
53	145	123
54	147	121
55	150	118
56	153	115
57	156	113
58	158	110
59	161	107
60	163	104
61	166	101
62	169	99
63	171	96
64	174	93
65	176	90
66	179	88
67	181	85
68	184	82
69	186	80
70	189	77
71	191	74
72	194	71
73	196	69
74	199	66
75	202	64
76	205	61
77	208	58
78	210	56
79	213	53
80	216	50
81	219	48
82	222	45
83	224	42
84	227	40
85	229	37
86	232	34
87	235	32
88	238	29
89	241	26
90	244	24
91	246	21
92	250	18
93	252	16
94	255	13
95	258	10
96	261	8
97	263	5
98	266	2
99	269	0
