iter	Passed	Remaining
0	8	8741
1	17	8538
2	24	8034
3	30	7705
4	39	7874
5	46	7674
6	53	7640
7	60	7455
8	68	7504
9	75	7467
10	83	7492
11	89	7395
12	96	7353
13	104	7341
14	110	7283
15	118	7273
16	124	7224
17	133	7283
18	140	7242
19	147	7250
20	154	7216
21	161	7192
22	168	7176
23	175	7146
24	183	7158
25	190	7131
26	197	7132
27	204	7106
28	212	7114
29	219	7094
30	226	7081
31	234	7081
32	240	7060
33	248	7060
34	255	7034
35	262	7038
36	269	7019
37	276	7007
38	285	7025
39	292	7021
40	299	7015
41	306	6994
42	315	7016
43	321	6995
44	330	7007
45	336	6987
46	344	6979
47	350	6958
48	358	6954
49	364	6933
50	371	6913
51	379	6915
52	386	6903
53	395	6922
54	402	6909
55	409	6906
56	416	6891
57	423	6881
58	430	6861
59	436	6834
60	443	6829
61	449	6806
62	457	6799
63	463	6784
64	470	6768
65	477	6764
66	484	6742
67	491	6737
68	497	6717
69	504	6702
70	511	6686
71	517	6667
72	525	6667
73	531	6648
74	539	6649
75	545	6635
76	552	6626
77	560	6626
78	568	6626
79	576	6628
80	582	6612
81	590	6611
82	596	6593
83	603	6585
84	610	6570
85	617	6562
86	624	6551
87	630	6536
88	638	6531
89	644	6520
90	652	6519
91	660	6517
92	668	6517
93	675	6506
94	682	6498
95	688	6483
96	695	6477
97	702	6465
98	709	6454
99	716	6446
100	722	6432
101	729	6425
102	736	6410
103	743	6408
104	750	6396
105	757	6386
106	764	6384
107	771	6370
108	779	6370
109	785	6358
110	793	6352
111	799	6341
112	806	6329
113	813	6318
114	819	6303
115	825	6294
116	832	6283
117	839	6274
118	846	6265
119	852	6254
120	860	6251
121	866	6238
122	873	6230
123	880	6220
124	887	6213
125	900	6245
126	914	6282
127	927	6316
128	937	6330
129	944	6322
130	957	6352
131	963	6338
132	971	6332
133	979	6327
134	987	6326
135	994	6315
136	1000	6302
137	1008	6296
138	1014	6283
139	1021	6272
140	1027	6258
141	1034	6249
142	1041	6239
143	1047	6229
144	1055	6225
145	1062	6213
146	1069	6204
147	1076	6194
148	1082	6179
149	1089	6174
150	1095	6161
151	1102	6150
152	1109	6140
153	1116	6131
154	1122	6121
155	1129	6108
156	1136	6104
157	1143	6094
158	1150	6085
159	1156	6073
160	1163	6062
161	1171	6058
162	1177	6047
163	1186	6050
164	1193	6041
165	1202	6041
166	1209	6032
167	1217	6028
168	1224	6019
169	1232	6016
170	1239	6007
171	1246	6000
172	1253	5991
173	1260	5983
174	1268	5979
175	1275	5972
176	1283	5967
177	1290	5961
178	1299	5958
179	1305	5949
180	1313	5943
181	1320	5935
182	1328	5932
183	1336	5926
184	1343	5919
185	1351	5912
186	1357	5902
187	1366	5901
188	1373	5893
189	1382	5893
190	1389	5885
191	1398	5885
192	1405	5875
193	1412	5869
194	1420	5862
195	1428	5858
196	1435	5849
197	1442	5844
198	1449	5834
199	1456	5827
200	1463	5819
201	1470	5808
202	1478	5803
203	1485	5794
204	1492	5787
205	1499	5778
206	1506	5771
207	1513	5764
208	1520	5754
209	1528	5748
210	1534	5739
211	1542	5733
212	1549	5724
213	1557	5720
214	1564	5711
215	1571	5704
216	1579	5698
217	1586	5690
218	1593	5683
219	1600	5674
220	1608	5671
221	1615	5662
222	1623	5656
223	1629	5646
224	1636	5638
225	1644	5630
226	1650	5619
227	1657	5613
228	1664	5603
229	1671	5595
230	1677	5584
231	1684	5575
232	1691	5567
233	1697	5556
234	1704	5550
235	1712	5542
236	1719	5536
237	1726	5527
238	1733	5519
239	1740	5511
240	1746	5500
241	1754	5494
242	1761	5485
243	1768	5479
244	1775	5470
245	1781	5461
246	1789	5453
247	1795	5443
248	1802	5435
249	1808	5426
250	1815	5418
251	1822	5409
252	1828	5399
253	1836	5392
254	1842	5382
255	1849	5376
256	1856	5367
257	1863	5359
258	1871	5354
259	1878	5345
260	1885	5339
261	1891	5328
262	1898	5320
263	1905	5311
264	1911	5302
265	1918	5294
266	1925	5285
267	1932	5278
268	1938	5268
269	1946	5262
270	1953	5253
271	1959	5243
272	1966	5236
273	1973	5229
274	1981	5224
275	1987	5214
276	1995	5208
277	2001	5199
278	2009	5191
279	2015	5183
280	2022	5174
281	2029	5167
282	2036	5158
283	2043	5151
284	2049	5142
285	2056	5135
286	2063	5126
287	2069	5116
288	2076	5109
289	2083	5100
290	2089	5091
291	2096	5083
292	2102	5073
293	2110	5067
294	2117	5060
295	2126	5057
296	2133	5050
297	2141	5044
298	2148	5036
299	2155	5029
300	2161	5020
301	2168	5011
302	2175	5004
303	2181	4995
304	2188	4987
305	2195	4978
306	2201	4970
307	2208	4962
308	2214	4952
309	2222	4947
310	2229	4939
311	2236	4932
312	2243	4924
313	2250	4916
314	2257	4909
315	2263	4900
316	2270	4892
317	2276	4883
318	2283	4875
319	2290	4866
320	2296	4857
321	2303	4850
322	2310	4842
323	2317	4835
324	2324	4827
325	2330	4818
326	2337	4811
327	2344	4803
328	2351	4796
329	2359	4790
330	2366	4782
331	2373	4775
332	2380	4768
333	2388	4762
334	2394	4753
335	2402	4747
336	2408	4739
337	2417	4734
338	2424	4726
339	2431	4720
340	2438	4713
341	2446	4707
342	2453	4699
343	2460	4692
344	2467	4684
345	2473	4675
346	2481	4669
347	2488	4661
348	2496	4656
349	2504	4651
350	2513	4647
351	2520	4640
352	2529	4635
353	2536	4628
354	2544	4622
355	2551	4615
356	2558	4607
357	2565	4600
358	2571	4591
359	2579	4585
360	2585	4577
361	2593	4571
362	2600	4563
363	2608	4556
364	2615	4551
365	2623	4543
366	2630	4537
367	2637	4529
368	2645	4523
369	2652	4516
370	2659	4509
371	2666	4501
372	2673	4494
373	2680	4486
374	2687	4478
375	2694	4472
376	2701	4463
377	2708	4456
378	2714	4448
379	2721	4440
380	2729	4433
381	2735	4425
382	2742	4418
383	2749	4410
384	2756	4403
385	2763	4395
386	2770	4388
387	2777	4380
388	2783	4372
389	2791	4366
390	2798	4358
391	2804	4350
392	2811	4342
393	2817	4333
394	2824	4326
395	2830	4317
396	2837	4310
397	2844	4302
398	2850	4293
399	2858	4287
400	2865	4280
401	2873	4274
402	2879	4265
403	2886	4258
404	2893	4250
405	2899	4242
406	2907	4235
407	2913	4227
408	2920	4220
409	2926	4211
410	2933	4204
411	2941	4197
412	2947	4189
413	2955	4184
414	2962	4176
415	2969	4169
416	2976	4160
417	2983	4153
418	2989	4146
419	2996	4137
420	3003	4130
421	3009	4122
422	3016	4114
423	3023	4107
424	3031	4101
425	3038	4094
426	3045	4086
427	3053	4080
428	3059	4072
429	3066	4064
