Model,Folds,Grid_search,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Time,Pipeline_file,Best_params,Timestamp
Logistic Regression,5,True,0.7282290963354086,0.0780579749553251,0.5427454088794786,0.1249056131266591,0.6060026869392506,0.0474620786136298,0.6335766423357664,0.0325288758469448,9.174885988235474,saved_pipelines\Logistic_Regression_pipeline_1763047174.pkl,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",1763047174.0
Logistic Regression,5,True,0.7282290963354086,0.0780579749553251,0.5427454088794786,0.1249056131266591,0.6060026869392506,0.0474620786136298,0.6335766423357664,0.0325288758469448,1.1125667095184326,saved_pipelines\Logistic_Regression_pipeline_1763047209.pkl,,
Logistic Regression,5,True,0.7282290963354086,0.0780579749553251,0.5427454088794786,0.1249056131266591,0.6060026869392506,0.0474620786136298,0.6335766423357664,0.0325288758469448,9.973135948181152,saved_pipelines\Logistic_Regression_pipeline_1763047338.pkl,,
Logistic Regression,5,True,0.7282290963354086,0.0780579749553251,0.5427454088794786,0.1249056131266591,0.6060026869392506,0.0474620786136298,0.6335766423357664,0.0325288758469448,1.3859639167785645,saved_pipelines\Logistic_Regression_pipeline_1763047381.pkl,,
Random Forest,5,True,0.6837372463158709,0.0738056619755641,0.6516946488715761,0.0938543255198098,0.6584510995282287,0.0455985065422872,0.6452554744525547,0.0312592892049107,16.44333815574646,saved_pipelines\Random_Forest_pipeline_1763047398.pkl,,
Gradient Boosting,5,True,0.6227092842439701,0.0693975539473591,0.7112750837403551,0.0737073092978906,0.6570207517521028,0.0251209116184655,0.605109489051095,0.0488233328706296,39.33858609199524,saved_pipelines\Gradient_Boosting_pipeline_1763047437.pkl,,
XGBoost,5,True,0.6003211157683516,0.0855414141600638,0.7705721600338704,0.1890940357259379,0.649834242550926,0.0642618943052513,0.5781021897810219,0.0323646704779494,1.8388118743896484,saved_pipelines\XGBoost_pipeline_1763047439.pkl,,
CatBoost,5,True,0.6786872025125839,0.0605761537545419,0.6269706924417031,0.0982859154152791,0.6434735029769219,0.0378257660847938,0.6357664233576642,0.01852347086197,6.308091402053833,saved_pipelines\CatBoost_pipeline_1763047446.pkl,,
Logistic Regression,5,True,0.7093087995406439,0.0749852498158209,0.5472671653679614,0.1151823349618498,0.6043642137016751,0.0589853511461253,0.6284671532846715,0.029685692565931,0.9990994930267334,saved_pipelines\Logistic_Regression_pipeline_1763047673.pkl,,
Random Forest,5,True,0.6753166369920607,0.0745200192373145,0.652816932798117,0.0932022336158394,0.6542430844951854,0.040044337075002,0.6379562043795619,0.0234714382347642,15.655714988708496,saved_pipelines\Random_Forest_pipeline_1763047689.pkl,,
Gradient Boosting,5,True,0.6096381598077496,0.0830820749116958,0.7593447944092981,0.1883350016149165,0.65179680426412,0.0638672603631078,0.5875912408759124,0.0318167806097859,45.75049304962158,saved_pipelines\Gradient_Boosting_pipeline_1763047735.pkl,,
XGBoost,5,True,0.6003211157683516,0.0855414141600638,0.7705721600338704,0.1890940357259379,0.649834242550926,0.0642618943052513,0.5781021897810219,0.0323646704779494,1.5051209926605225,saved_pipelines\XGBoost_pipeline_1763047736.pkl,,
CatBoost,5,True,0.64227616270943,0.077009159172855,0.6550456557427651,0.0878547854800706,0.6404944995575924,0.0415400209833448,0.6124087591240877,0.0385827015661387,6.045560598373413,saved_pipelines\CatBoost_pipeline_1763047742.pkl,,
Logistic Regression,5,True,0.5286212732400951,0.1044619385629958,0.5778355764477476,0.2929416426991758,0.519323942162811,0.2271197754216404,0.5437956204379562,0.037361996765167,9.871317625045776,saved_pipelines\Logistic_Regression_pipeline_1763103828.pkl,,
Random Forest,5,True,0.6639542900308969,0.0509083319542934,0.6311894849940544,0.1065315253919338,0.6382314046042188,0.0362466270691615,0.6255474452554745,0.0155869755504107,15.075842380523682,saved_pipelines\Random_Forest_pipeline_1763103843.pkl,,
Gradient Boosting,5,True,0.61864232865919,0.0902445710452559,0.7409448742089401,0.1589416607416292,0.6525241097882566,0.0516851226238442,0.5941605839416058,0.0245802310080039,45.2930805683136,saved_pipelines\Gradient_Boosting_pipeline_1763103889.pkl,,
XGBoost,5,True,0.6255222081696798,0.1014311486218701,0.7344800569206588,0.1812283070431699,0.6478851173777562,0.0684611695837894,0.5956204379562043,0.0275444704585593,1.6940078735351562,saved_pipelines\XGBoost_pipeline_1763103891.pkl,,
CatBoost,5,True,0.621779260023739,0.0510902617002562,0.6631851582251079,0.1142220958142453,0.6345556117210934,0.0495382896825675,0.6014598540145986,0.0209528468531493,5.834052085876465,saved_pipelines\CatBoost_pipeline_1763103897.pkl,,
Logistic Regression,5,True,0.5286212732400951,0.1044619385629958,0.5778355764477476,0.2929416426991758,0.519323942162811,0.2271197754216404,0.5437956204379562,0.037361996765167,1.1742069721221924,saved_pipelines\Logistic_Regression_pipeline_1763103944.pkl,,
Random Forest,5,True,0.6639542900308969,0.0509083319542934,0.6311894849940544,0.1065315253919338,0.6382314046042188,0.0362466270691615,0.6255474452554745,0.0155869755504107,14.903303384780884,saved_pipelines\Random_Forest_pipeline_1763103959.pkl,,
Gradient Boosting,5,True,0.6258778509103775,0.0912397001390412,0.7331697954546958,0.1763494441557074,0.6501653929792801,0.0664595846659052,0.5992700729927007,0.0257448059686838,41.99227452278137,saved_pipelines\Gradient_Boosting_pipeline_1763104001.pkl,,
XGBoost,5,True,0.6255222081696798,0.1014311486218701,0.7344800569206588,0.1812283070431699,0.6478851173777562,0.0684611695837894,0.5956204379562043,0.0275444704585593,1.5422921180725098,saved_pipelines\XGBoost_pipeline_1763104003.pkl,,
CatBoost,5,True,0.621779260023739,0.0510902617002562,0.6631851582251079,0.1142220958142453,0.6345556117210934,0.0495382896825675,0.6014598540145986,0.0209528468531493,5.970420837402344,saved_pipelines\CatBoost_pipeline_1763104009.pkl,,
Logistic Regression,5,True,0.5872182829336114,0.1285169656954978,0.4894397388996244,0.2551054426675058,0.4974035274732282,0.2175295675764048,0.564963503649635,0.0538070583765901,0.5300154685974121,saved_pipelines\Logistic_Regression_pipeline_1763104142.pkl,,
Random Forest,5,True,0.7254273587714637,0.0665739365278718,0.5554446883561535,0.1282523983390844,0.6158587132468567,0.0598052384011763,0.6408759124087592,0.0370469417239402,11.79593014717102,saved_pipelines\Random_Forest_pipeline_1763104154.pkl,,
Gradient Boosting,5,True,0.6449303738791115,0.0647745501836373,0.6723364728612041,0.1159555187221131,0.6500446077472013,0.052485803174446,0.621897810218978,0.0353543971921528,40.052123069763184,saved_pipelines\Gradient_Boosting_pipeline_1763104194.pkl,,
XGBoost,5,True,0.6630976879617363,0.1079185514130656,0.641306415185909,0.1785570980931439,0.6220171921268527,0.0624424364273309,0.605109489051095,0.0212056044472028,1.5075547695159912,saved_pipelines\XGBoost_pipeline_1763104196.pkl,,
CatBoost,5,True,0.720813693658006,0.0621574869312392,0.5555317349652025,0.1464088538298499,0.6107226504123717,0.0641767333538313,0.6364963503649635,0.0316993441614722,5.483901739120483,saved_pipelines\CatBoost_pipeline_1763104201.pkl,,
Logistic Regression,5,True,0.5856099158952276,0.1293726939630668,0.4868718376650565,0.2534498619417011,0.4953064061186597,0.21673319217676,0.5627737226277373,0.0552241761149714,0.259455919265747,saved_pipelines\Logistic_Regression_pipeline_1763104319.pkl,,
Random Forest,5,True,0.6877934794100603,0.0661375805844087,0.6019979781217653,0.1242605836655309,0.6290935687556332,0.0567929060410455,0.6321167883211679,0.0307437075746754,3.3319694995880127,saved_pipelines\Random_Forest_pipeline_1763104322.pkl,,
Gradient Boosting,5,True,0.6372238531067784,0.05667006177347,0.638783402780588,0.135578317166075,0.6259847799732254,0.070653975291068,0.6065693430656934,0.0383055233967939,2.7863121032714844,saved_pipelines\Gradient_Boosting_pipeline_1763104325.pkl,,
XGBoost,5,True,0.679886459425713,0.0869697281808067,0.573269826415962,0.1575180915074443,0.5968496478082598,0.0767632537496546,0.6072992700729928,0.0310197508917894,1.1023330688476562,saved_pipelines\XGBoost_pipeline_1763104326.pkl,,
CatBoost,5,True,0.6744609367174994,0.0591090937393065,0.5960381700755106,0.1488135850661761,0.619260173067296,0.07525883916634,0.6248175182481751,0.0352638608151274,5.4337852001190186,saved_pipelines\CatBoost_pipeline_1763104332.pkl,,
Logistic Regression,5,True,0.5653755008035073,0.1145347531975499,0.5287390278874939,0.2617659042592942,0.5166366994058285,0.2193054979950575,0.5649635036496351,0.0519941717328704,0.1831324100494384,saved_pipelines\Logistic_Regression_pipeline_1763104439.pkl,,
Random Forest,5,True,0.705111198872455,0.088478762181389,0.561138795137931,0.1776431801748431,0.5942412694601484,0.116694071824163,0.621897810218978,0.0444357116940858,3.5343010425567627,saved_pipelines\Random_Forest_pipeline_1763104443.pkl,,
Gradient Boosting,5,True,0.6492545683955488,0.0772441410009182,0.6186372210871701,0.1668887074142166,0.6096680641249208,0.0800268914739153,0.6007299270072993,0.0154151183079875,2.890028715133667,saved_pipelines\Gradient_Boosting_pipeline_1763104446.pkl,,
XGBoost,5,True,0.6781966944278502,0.0890195225072021,0.5746213616736864,0.1639827316282452,0.5949231437738153,0.0799312841527773,0.6058394160583942,0.0216531342688924,1.0141921043395996,saved_pipelines\XGBoost_pipeline_1763104447.pkl,,
CatBoost,5,True,0.7120218219863628,0.0715092247398575,0.5381931565438342,0.1447568303967021,0.5946175163551424,0.0830380340986094,0.6270072992700729,0.0311739511008213,5.067681550979614,saved_pipelines\CatBoost_pipeline_1763104452.pkl,,
Logistic Regression,3,True,0.5850177838225984,0.0160924276423716,0.6809851445359053,0.2204886240467471,0.6079939477239448,0.1045584587947607,0.570154095701541,0.0198991794750775,0.1880900859832763,saved_pipelines\Logistic_Regression_pipeline_1763104469.pkl,,
Random Forest,3,True,0.6704819043347658,0.111697735862014,0.659563435972765,0.2342912048048982,0.6176460303666785,0.0985120177388892,0.6017842660178426,0.0563767954484436,2.1800005435943604,saved_pipelines\Random_Forest_pipeline_1763104471.pkl,,
Gradient Boosting,3,True,0.6628567899308264,0.132898958145996,0.665630802915662,0.2809312663890054,0.59444264098541,0.1270573625581601,0.5790754257907543,0.0501397616093227,1.7286252975463867,saved_pipelines\Gradient_Boosting_pipeline_1763104473.pkl,,
XGBoost,3,True,0.6777705887872202,0.1398256512626325,0.658999119265603,0.2640859847768922,0.6037256117429209,0.1083951554451306,0.5871857258718572,0.0645673616788163,0.8664307594299316,saved_pipelines\XGBoost_pipeline_1763104474.pkl,,
CatBoost,3,True,0.6802280968445867,0.1213174716265239,0.6576953398064233,0.2242227339539483,0.6227918321807482,0.090499872681798,0.6050283860502839,0.0716649538828046,3.511929988861084,saved_pipelines\CatBoost_pipeline_1763104477.pkl,,
Logistic Regression,6,True,0.6416479029841117,0.0584004350446605,0.529922551490586,0.261636480003513,0.5211670302322631,0.2195593462927489,0.573758865248227,0.0497112025783689,0.302586555480957,saved_pipelines\Logistic_Regression_pipeline_1763104481.pkl,,
Random Forest,6,True,0.6577981897893501,0.0332250285109888,0.5971640108709173,0.1261062579227817,0.6174282612085988,0.0724718886139576,0.6170212765957447,0.0376621788577354,5.236920118331909,saved_pipelines\Random_Forest_pipeline_1763104486.pkl,,
Gradient Boosting,6,True,0.6433015747254941,0.0552321438627329,0.6278899015517092,0.162395609976818,0.6222122766193059,0.0803350867668493,0.6099290780141844,0.0389748416000966,4.328563213348389,saved_pipelines\Gradient_Boosting_pipeline_1763104491.pkl,,
XGBoost,6,True,0.6608477496998337,0.0733221762195326,0.5962529333055283,0.1370449753580339,0.6109491957835548,0.0553645016689573,0.6056737588652482,0.0413055880242866,1.5310297012329102,saved_pipelines\XGBoost_pipeline_1763104492.pkl,,
CatBoost,6,True,0.6957396180062737,0.0630313224169211,0.5345684666499718,0.07924509105041,0.6009563216468212,0.066055347038056,0.625531914893617,0.0499282720760228,7.23962664604187,saved_pipelines\CatBoost_pipeline_1763104500.pkl,,
Logistic Regression,6,True,0.6152153808500062,0.062779828220739,0.533469178563224,0.2670237388348646,0.5273634429256373,0.2357516889622061,0.5872340425531916,0.0586555266046392,0.2220220565795898,saved_pipelines\Logistic_Regression_pipeline_1763104532.pkl,,
Random Forest,6,True,0.6842809967809967,0.0402905887032224,0.5599772562389648,0.0992780877728691,0.6111924714595337,0.0644118538631279,0.6269503546099291,0.0398932230082985,4.000210523605347,saved_pipelines\Random_Forest_pipeline_1763104536.pkl,,
Gradient Boosting,6,True,0.6753947913697078,0.0679740742845154,0.5974094633291246,0.1348874958705372,0.6221374481092853,0.0614602234291869,0.6234042553191489,0.037961485648433,3.0681755542755127,saved_pipelines\Gradient_Boosting_pipeline_1763104539.pkl,,
XGBoost,6,True,0.6737006544801591,0.0680419388912542,0.5740932709294665,0.1495174434573171,0.6050981075637621,0.0851838747864182,0.6170212765957447,0.0397669383514218,1.1408870220184326,saved_pipelines\XGBoost_pipeline_1763104541.pkl,,
CatBoost,6,True,0.7100827674204332,0.0688774280297155,0.5247216719210313,0.1070751561683512,0.5978022718519457,0.0841023797429561,0.6319148936170212,0.0538680378773283,7.027669191360474,saved_pipelines\CatBoost_pipeline_1763104548.pkl,,
Logistic Regression,6,True,0.6054476087426962,0.0388030402505639,0.6027123385116043,0.2980862416385188,0.5387202620332296,0.2328926954005129,0.5638297872340425,0.0433088925979348,0.316821813583374,saved_pipelines\Logistic_Regression_pipeline_1763104568.pkl,,
Random Forest,6,True,0.6673982589283209,0.0429561251264077,0.5989059916691035,0.107582116450271,0.6256669432642159,0.0650797161727363,0.625531914893617,0.0414028922534082,3.927402257919312,saved_pipelines\Random_Forest_pipeline_1763104572.pkl,,
Gradient Boosting,6,True,0.6188641903307465,0.0401578227615499,0.6509009951385526,0.1376937439793924,0.6273537570272006,0.0681135899906398,0.599290780141844,0.0358068242875584,3.368708848953247,saved_pipelines\Gradient_Boosting_pipeline_1763104575.pkl,,
XGBoost,6,True,0.6475035665448807,0.0534362346284651,0.6151881386795589,0.167028861478397,0.6166028511913885,0.0998791060131347,0.6134751773049646,0.0391872050596916,1.129676103591919,saved_pipelines\XGBoost_pipeline_1763104576.pkl,,
CatBoost,6,True,0.6627465976639918,0.0397596895453706,0.5981721727491797,0.1069212961106254,0.6230805007637836,0.0578379733757562,0.6205673758865248,0.0447932841833705,7.293594360351562,saved_pipelines\CatBoost_pipeline_1763104584.pkl,,
Logistic Regression,5,True,0.5437666333435243,0.0946394225688987,0.6146129213746067,0.318761082621944,0.5389845171872795,0.2345593058061775,0.5613138686131387,0.0465897033495852,0.2083001136779785,saved_pipelines\Logistic_Regression_pipeline_1763104651.pkl,,
Random Forest,5,True,0.6939518078613114,0.0789465423043294,0.6185127043077179,0.1546947317458687,0.6353324528064626,0.073614710725126,0.6386861313868613,0.0270171613479149,3.156696081161499,saved_pipelines\Random_Forest_pipeline_1763104654.pkl,,
Gradient Boosting,5,True,0.6454856943261762,0.0526378616052503,0.6325653356538499,0.1200552335602538,0.6286025767279723,0.0507422539222863,0.6116788321167883,0.0179686622264104,2.747488260269165,saved_pipelines\Gradient_Boosting_pipeline_1763104657.pkl,,
XGBoost,5,True,0.6673601447350459,0.0699493952943217,0.6344600692168777,0.1638121518684637,0.6293767453852788,0.0692863756286611,0.6204379562043796,0.0249673450751636,1.0544300079345703,saved_pipelines\XGBoost_pipeline_1763104658.pkl,,
CatBoost,5,True,0.6516929071280038,0.035177057776368,0.6330398861131261,0.1470458597250759,0.6310439998524505,0.0724168498178379,0.6211678832116789,0.0274475849298732,5.253249168395996,saved_pipelines\CatBoost_pipeline_1763104663.pkl,,
Logistic Regression,5,True,0.5437666333435243,0.0946394225688987,0.6146129213746067,0.318761082621944,0.5389845171872795,0.2345593058061775,0.5613138686131387,0.0465897033495852,5.898640871047974,saved_pipelines\Logistic_Regression_pipeline_1763105174.pkl,,
Random Forest,5,True,0.6939518078613114,0.0789465423043294,0.6185127043077179,0.1546947317458687,0.6353324528064626,0.073614710725126,0.6386861313868613,0.0270171613479149,3.510453939437866,saved_pipelines\Random_Forest_pipeline_1763105177.pkl,,
Logistic Regression,5,True,0.1996990259753581,0.0867914855659734,0.249875036686651,0.1537964017058374,0.1958794407428627,0.0802779295549957,0.7179344808439756,0.0986372653176814,5.687032461166382,saved_pipelines\Logistic_Regression_pipeline_1763105239.pkl,,
Random Forest,5,True,0.3281736753207315,0.0934318789472509,0.2315670708409307,0.3006970236206683,0.2002731865962988,0.1677357558171454,0.7696835091615768,0.1822957951433502,7.22986102104187,saved_pipelines\Random_Forest_pipeline_1763105246.pkl,,
Gradient Boosting,5,True,0.3619020620022959,0.1388796078379089,0.0711191264913631,0.0731041013419698,0.1099951292209738,0.0963252789760394,0.8189894503053858,0.1082244797144023,11.03001856803894,saved_pipelines\Gradient_Boosting_pipeline_1763105257.pkl,,
XGBoost,5,True,0.4518367346938776,0.1624915907149651,0.03630400807595,0.0529788896068212,0.0617229145806677,0.0851979328756706,0.826540810660744,0.1005788982585613,2.6956582069396973,saved_pipelines\XGBoost_pipeline_1763105260.pkl,,
CatBoost,5,True,0.3419647686860801,0.0479809897337469,0.3055831372971188,0.3350904025214482,0.2561750188156895,0.1509508309266145,0.7566907273736813,0.1979975292270786,12.227127313613892,saved_pipelines\CatBoost_pipeline_1763105272.pkl,,
Logistic Regression,5,True,0.2090519463641715,0.0848586478248046,0.2347754276753455,0.1623649798214034,0.1994233328046988,0.0836711339408818,0.7283731260410883,0.1154478199096971,0.7869772911071777,saved_pipelines\Logistic_Regression_pipeline_1763105343.pkl,,
Random Forest,5,True,0.3795217572865524,0.0606613443176287,0.2044769785798122,0.2800306488705305,0.1868144868667784,0.1669150766769355,0.782787340366463,0.1742939614874252,7.669683218002319,saved_pipelines\Random_Forest_pipeline_1763105351.pkl,,
Gradient Boosting,5,True,0.3665231946437112,0.1198732768496606,0.0624216317711838,0.0626205030423648,0.0998756199822774,0.0881220973850586,0.819988895058301,0.1087442024693389,7.360295534133911,saved_pipelines\Gradient_Boosting_pipeline_1763105358.pkl,,
XGBoost,5,True,0.3281829573934837,0.1881892972192279,0.0219534169886298,0.0148624794574048,0.0407051491417502,0.0271677024094135,0.8205441421432538,0.1077353346336086,2.194869041442871,saved_pipelines\XGBoost_pipeline_1763105360.pkl,,
CatBoost,5,True,0.3079390714347735,0.0610156009728009,0.2975129195684743,0.2694556936877283,0.2681438263594327,0.144948169483578,0.7605774569683509,0.171517756841222,12.397764444351196,saved_pipelines\CatBoost_pipeline_1763105373.pkl,,
Logistic Regression,10,True,0.218775108838598,0.124253406104764,0.3651219257061946,0.2613162267484585,0.2564761287843297,0.1552412114905481,0.7044806517311609,0.1700213375958032,1.0768725872039795,saved_pipelines\Logistic_Regression_pipeline_1763105422.pkl,,
Random Forest,10,True,0.3590384009722972,0.2424485663093724,0.2651384900408006,0.3184513670096445,0.1873033609004702,0.1809895335197043,0.7510183299389002,0.1928482738695333,14.644119262695312,saved_pipelines\Random_Forest_pipeline_1763105436.pkl,,
Gradient Boosting,10,True,0.3955807552347967,0.235484993006287,0.0730018153338429,0.058775614603902,0.1094963624212604,0.0803507413643403,0.8223014256619144,0.1221021760377009,16.654621124267578,saved_pipelines\Gradient_Boosting_pipeline_1763105453.pkl,,
XGBoost,10,True,0.3174664010265415,0.1917074216425934,0.0392547999254718,0.0370308571144242,0.0634482809830244,0.0541206965548531,0.8265784114052952,0.1210211764992096,4.747588634490967,saved_pipelines\XGBoost_pipeline_1763105458.pkl,,
CatBoost,10,True,0.3314237917174524,0.1742540508475618,0.3837192713223005,0.3892771882282301,0.2375052946452485,0.1709049423205774,0.6977596741344195,0.2469095445588912,20.79755687713623,saved_pipelines\CatBoost_pipeline_1763105479.pkl,,
Logistic Regression,10,True,,,,,,,,,0.6288955211639404,saved_pipelines\Logistic_Regression_pipeline_1763105540.pkl,,
Random Forest,10,True,,,,,,,,,6.365923643112183,saved_pipelines\Random_Forest_pipeline_1763105546.pkl,,
Gradient Boosting,10,True,,,,,,,,,4.479832172393799,saved_pipelines\Gradient_Boosting_pipeline_1763105551.pkl,,
XGBoost,10,True,,,,,,,,,2.316090583801269,saved_pipelines\XGBoost_pipeline_1763105553.pkl,,
CatBoost,10,True,,,,,,,,,11.962536573410034,saved_pipelines\CatBoost_pipeline_1763105565.pkl,,
Logistic Regression,5,True,0.5286725884250799,0.103701349356622,0.5740062472393881,0.2902101963651701,0.5179154372765761,0.2255309335375412,0.5430656934306569,0.0332417446328049,0.3264877796173095,saved_pipelines\Logistic_Regression_pipeline_1763105592.pkl,,
Random Forest,5,True,0.6877934794100603,0.0661375805844087,0.6019979781217653,0.1242605836655309,0.6290935687556332,0.0567929060410455,0.6321167883211679,0.0307437075746754,3.28378701210022,saved_pipelines\Random_Forest_pipeline_1763105595.pkl,,
Gradient Boosting,5,True,0.6271857267779224,0.0531549395053766,0.6298119765856238,0.1151972920685134,0.6189313709677852,0.0581000361301541,0.5970802919708029,0.0290690624112991,2.7297637462615967,saved_pipelines\Gradient_Boosting_pipeline_1763105598.pkl,,
XGBoost,5,True,0.6508561822655957,0.0651030543344248,0.6182951519735863,0.1602503454228816,0.6140611296163151,0.0836076266720709,0.6065693430656934,0.0344228499928513,1.1544396877288818,saved_pipelines\XGBoost_pipeline_1763105599.pkl,,
CatBoost,5,True,0.6703572661501889,0.0662804510623805,0.6106064477489263,0.1022269967424733,0.629793731037755,0.0393059001265757,0.6240875912408759,0.0193120533654349,5.577652454376221,saved_pipelines\CatBoost_pipeline_1763105605.pkl,,
Logistic Regression,5,True,0.5370720413578822,0.1073793342789573,0.5822248636902276,0.2975816475725718,0.5264309448389939,0.231274137939642,0.5554744525547445,0.0412521785429045,0.3878109455108642,saved_pipelines\Logistic_Regression_pipeline_1763105625.pkl,,
Random Forest,5,True,0.6733395137311019,0.0524593863307674,0.61857777326955,0.1383910907296556,0.6312435972398994,0.0631993727842274,0.6284671532846715,0.0219464180706174,3.416191577911377,saved_pipelines\Random_Forest_pipeline_1763105628.pkl,,
Gradient Boosting,5,True,0.649089254747516,0.0516600739566703,0.6253851756758129,0.1547477783866665,0.6209922369413168,0.0704738018866023,0.6094890510948906,0.0361295435642761,2.780259847640991,saved_pipelines\Gradient_Boosting_pipeline_1763105631.pkl,,
XGBoost,5,True,0.6639561179822175,0.0676231898155947,0.6311292681718927,0.1675931005471338,0.6272657654086564,0.076610813116566,0.6204379562043795,0.0319003990998717,1.2253198623657229,saved_pipelines\XGBoost_pipeline_1763105632.pkl,,
CatBoost,5,True,0.6942373037152904,0.0759374761983719,0.5866913349095457,0.0952619026995993,0.6259514261143758,0.0423224681570717,0.6299270072992701,0.0523617706115648,6.392560005187988,saved_pipelines\CatBoost_pipeline_1763105639.pkl,,
Logistic Regression,5,True,0.5437666333435243,0.0946394225688987,0.6146129213746067,0.318761082621944,0.5389845171872795,0.2345593058061775,0.5613138686131387,0.0465897033495852,0.3084712028503418,saved_pipelines\Logistic_Regression_pipeline_1763105755.pkl,,
Random Forest,5,True,0.7033145323767072,0.062626578734246,0.5933583401853066,0.1524304563449244,0.6275917155931181,0.0842801055174685,0.6423357664233578,0.0374332303794396,3.4075255393981934,saved_pipelines\Random_Forest_pipeline_1763105759.pkl,,
Gradient Boosting,5,True,0.649021006695956,0.0645111966045822,0.6077872747679276,0.1479890546623937,0.6115910270807705,0.0712927792092172,0.6051094890510949,0.0307437075746754,2.885199546813965,saved_pipelines\Gradient_Boosting_pipeline_1763105762.pkl,,
XGBoost,5,True,0.6673601447350459,0.0699493952943217,0.6344600692168777,0.1638121518684637,0.6293767453852788,0.0692863756286611,0.6204379562043796,0.0249673450751636,1.2056493759155271,saved_pipelines\XGBoost_pipeline_1763105763.pkl,,
CatBoost,5,True,0.6755796547299907,0.0413467052436375,0.6124024158798553,0.138376837102731,0.6317379728330407,0.0729825989318032,0.6343065693430656,0.0233576642335766,5.523003816604614,saved_pipelines\CatBoost_pipeline_1763105768.pkl,,
Logistic Regression,5,True,0.6039049635379911,0.0483918651311007,0.6176032811516438,0.3168730267594734,0.548949555298364,0.2288928136059052,0.5766423357664233,0.0568218991416892,0.2372050285339355,saved_pipelines\Logistic_Regression_pipeline_1763105935.pkl,,
